||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|Bursa(Osmangazi/Osmangazi Bel./İsmetiye Mah.)-11198|1879.0|
|Bursa(Osmangazi/Osmangazi Bel./İstiklal Mah.)-11199|9588.0|
|Bursa(Osmangazi/Osmangazi Bel./İvazpaşa Mah.)-11200|2675.0|
|Bursa(Osmangazi/Osmangazi Bel./Karabalçık Mah.)-183491|822.0|
|Bursa(Osmangazi/Osmangazi Bel./Karaislah Mah.)-183521|198.0|
|Bursa(Osmangazi/Osmangazi Bel./Kavaklı Mah.)-11201|1084.0|
|Bursa(Osmangazi/Osmangazi Bel./Kayıhan Mah.)-11202|1214.0|
|Bursa(Osmangazi/Osmangazi Bel./Kemerçeşme Mah.)-11203|5319.0|
|Bursa(Osmangazi/Osmangazi Bel./Kirazlı Mah.)-11258|1049.0|
|Bursa(Osmangazi/Osmangazi Bel./Kırcaali Mah.)-11204|1382.0|
|Bursa(Osmangazi/Osmangazi Bel./Kiremitçi Mah.)-11206|3037.0|
|Bursa(Osmangazi/Osmangazi Bel./Kocanaip Mah.)-11207|1662.0|
|Bursa(Osmangazi/Osmangazi Bel./Koğukçınar Mah.)-11208|5891.0|
|Bursa(Osmangazi/Osmangazi Bel./Küçükbalıklı Mah.)-11210|20641.0|
|Bursa(Osmangazi/Osmangazi Bel./Küçükdeliller Mah.)-183523|382.0|
|Bursa(Osmangazi/Osmangazi Bel./Kükürtlü Mah.)-11211|11217.0|
|Bursa(Osmangazi/Osmangazi Bel./Küplüpınar Mah.)-11212|10366.0|
|Bursa(Osmangazi/Osmangazi Bel./Kuruçeşme Mah.)-11209|938.0|
|Bursa(Osmangazi/Osmangazi Bel./Maksem Mah.)-11213|4333.0|
|Bursa(Osmangazi/Osmangazi Bel./Mehmet Akif Mah.)-11214|7433.0|
|Bursa(Osmangazi/Osmangazi Bel./Mollafenari Mah.)-11215|5766.0|
|Bursa(Osmangazi/Osmangazi Bel./Mollagürani Mah.)-11216|747.0|
|Bursa(Osmangazi/Osmangazi Bel./Muradiye Mah.)-11217|3213.0|
|Bursa(Osmangazi/Osmangazi Bel./Mürseller Mah.)-183493|295.0|
|Bursa(Osmangazi/Osmangazi Bel./Nalbantoğlu Mah.)-11218|1405.0|
|Bursa(Osmangazi/Osmangazi Bel./Namık Kemal Mah.)-11219|7615.0|
|Bursa(Osmangazi/Osmangazi Bel./Nilüferköy Mah.)-183495|3604.0|
|Bursa(Osmangazi/Osmangazi Bel./Orhanbey Mah.)-11220|291.0|
|Bursa(Osmangazi/Osmangazi Bel./Osmangazi Mah.)-11221|2086.0|
|Bursa(Osmangazi/Osmangazi Bel./Ovaakça Çeşmebaşı Mah.)-11260|2849.0|
|Bursa(Osmangazi/Osmangazi Bel./Ovaakça Eğitim Mah.)-11261|1535.0|
|Bursa(Osmangazi/Osmangazi Bel./Ovaakça Merkez Mah.)-11262|4053.0|
|Bursa(Osmangazi/Osmangazi Bel./Ovaakça Santral Mah.)-11263|3039.0|
|Bursa(Osmangazi/Osmangazi Bel./Panayır Mah.)-11222|24074.0|
|Bursa(Osmangazi/Osmangazi Bel./Pınarbaşı Mah.)-11223|2123.0|
|Bursa(Osmangazi/Osmangazi Bel./Reyhan Mah.)-11224|504.0|
|Bursa(Osmangazi/Osmangazi Bel./Sakarya Mah.)-11225|4197.0|
|Bursa(Osmangazi/Osmangazi Bel./Santral Garaj Mah.)-11226|794.0|
|Bursa(Osmangazi/Osmangazi Bel./Seç Mah.)-183497|525.0|
|Bursa(Osmangazi/Osmangazi Bel./Seferışıklar Mah.)-183525|196.0|
|Bursa(Osmangazi/Osmangazi Bel./Şehabettinpaşa Mah.)-11233|868.0|
|Bursa(Osmangazi/Osmangazi Bel./Şehreküstü Mah.)-11234|409.0|
|Bursa(Osmangazi/Osmangazi Bel./Selamet Mah.)-11227|6484.0|
|Bursa(Osmangazi/Osmangazi Bel./Selçukgazi Mah.)-183499|760.0|
|Bursa(Osmangazi/Osmangazi Bel./Selimiye Mah.)-11229|2088.0|
|Bursa(Osmangazi/Osmangazi Bel./Sırameşeler Mah.)-11230|12478.0|
|Bursa(Osmangazi/Osmangazi Bel./Soğanlı Mah.)-11231|25671.0|
|Bursa(Osmangazi/Osmangazi Bel./Soğukkuyu Mah.)-11232|9738.0|
|Bursa(Osmangazi/Osmangazi Bel./Soğukpınar Mah.)-183509|331.0|
|Bursa(Osmangazi/Osmangazi Bel./Tahtakale Mah.)-11235|1207.0|
|Bursa(Osmangazi/Osmangazi Bel./Tayakadın Mah.)-11236|1800.0|
|Bursa(Osmangazi/Osmangazi Bel./Tuna Mah.)-11237|5724.0|
|Bursa(Osmangazi/Osmangazi Bel./Tuzaklı Mah.)-183503|216.0|
|Bursa(Osmangazi/Osmangazi Bel./Tuzpazarı Mah.)-11238|279.0|
|Bursa(Osmangazi/Osmangazi Bel./Uluçam Mah.)-183505|140.0|
|Bursa(Osmangazi/Osmangazi Bel./Ulu Mah.)-11239|2024.0|
|Bursa(Osmangazi/Osmangazi Bel./Veysel Karani Mah.)-11240|1928.0|
|Bursa(Osmangazi/Osmangazi Bel./Yahşibey Mah.)-11241|2725.0|
|Bursa(Osmangazi/Osmangazi Bel./Yenibağlar Mah.)-99903|17576.0|
|Bursa(Osmangazi/Osmangazi Bel./Yeniceabat Mah.)-11242|1663.0|
|Bursa(Osmangazi/Osmangazi Bel./Yenikaraman Mah.)-11243|10629.0|
|Bursa(Osmangazi/Osmangazi Bel./Yenikent Mah.)-99904|6736.0|
|Bursa(Osmangazi/Osmangazi Bel./Yeşilova Mah.)-11244|12179.0|
|Bursa(Osmangazi/Osmangazi Bel./Yiğitali Mah.)-183507|542.0|
|Bursa(Osmangazi/Osmangazi Bel./Yunuseli Mah.)-11245|42519.0|
|Bursa(Osmangazi/Osmangazi Bel./Zafer Mah.)-11246|3873.0|
|||
