hood_name,district_name,geom,area_km2,population,sip_count,population_density,order_density
İbrahimpaşa Mahallesi,Osmangazi,0106000020E61000000100000001030000000100000032000000FB5C6DC5FE103D4061EE4916E616444058A3682FEC103D4021E692AAED164440E9DD0EC3FD103D40E85894C8F4164440B4B0A71DFE103D40D303D5F5FA164440D0AEE710DD103D405B295F2BFC164440200A664CC1103D4086E28E37F91644402511D033AC103D4050F7A68EFA164440BC52E0AEA8103D4090ACB2A5FD164440C15D51A5C1103D4088A70D3D18174440FB952941DA103D405029C0C1281744404D593CABBB103D406CA68CC92C174440BC52E0AEA8103D409FC14B1531174440A5A6B805A6103D407A7D9C1F351744400583103576103D4054DDC8E1381744405512D90759103D4089601C5C3A17444063F7D33549103D40ED4D67823C174440D324C2D034103D4057540E773F174440B5EE303729103D40FE987BED3E174440C03456AC2B103D40E7340BB43B1744403305210F33103D40FE1C30592617444063BF828F1C103D404E0E9F742217444063BF828F1C103D4055455D1036174440C2679027EE0F3D4040F09D3D3C1744407E512745D00F3D40BFF2203D45174440BD9069C8D30F3D40EDF483BA481744404EC4115AC50F3D4005AD1B4A4817444000E88B18D10F3D40A64AEF76181744408948A8740B103D40D1031F831517444049BC3C9D2B103D408692246310174440293284AD23103D401F566E580917444034AE6EAB0F103D40B477A11408174440806A172E06103D40EE04A0F6001744401678DD1104103D404A6249B9FB1644404BA544B703103D408808A469F5164440D8A436CC2B103D4064D0645AF61644402B082F0B37103D404A6249B9FB16444034B275BA3D103D40D3EF671DFA16444079FC28345A103D40F20E4B5EF8164440D53DB2B96A103D40112E2E9FF6164440E961687572103D409953B8D4F7164440F373435376103D40FCD86ECCFC1644407A347ADA86103D40AFB7280EFB164440D641B9C898103D402F4D11E0F4164440C2514DA48F103D40C295A24BEE164440989E550B91103D4025743C0BE71644402EAC1BEF8E103D40F8AB5B98E016444020C720C19E103D409626A5A0DB164440B1C403CAA6103D40E411DC48D9164440BF87A647AE103D40FFC7AE59D3164440FB5C6DC5FE103D4061EE4916E6164440,0.0722,2217,43,30706.37,595.57
Mollafenari Mahallesi,Osmangazi,0106000020E610000001000000010300000001000000FA000000003ED3A6450C3D40F849FFDCE116444021133AF93E0C3D40A87D29F2DA164440D8C11C98370C3D40CFB06202C816444039D6C56D340C3D408AE2FA1CC4164440E572CD2E290C3D409F37BAEFBD16444033CB54771B0C3D4097A7188CB6164440BE5EAB4E180C3D40BC47ECC9B2164440546C7132160C3D406DAF6076AA1644401F735424150C3D40029A081B9E164440C9A4D0C31A0C3D40616EF7729F164440DCC8867F220C3D401796E425A41644401BD47E6B270C3D40C1519731AA1644408FD893652D0C3D40EF53FAAEAD164440CADC216A470C3D40149BEA24B6164440261EABEF570C3D4020DC5328C116444039DACC7C620C3D40C47EAA65C616444043ECA75A660C3D404523449EC9164440ED516E916A0C3D403D68D196CE164440C1029832700C3D4043812D65CF1644407446EFAF790C3D40EFDEF6A9CF1644402722B2FE850C3D4043812D65CF1644401AA54BFF920C3D403D68D196CE164440ED5575A0980C3D40374F75C8CD164440A2CD16B5A00C3D402C1DBD2BCC1644407F901B34AA0C3D4021B7BAF7CB164440C8ADEEFDB20C3D4080BFF3E6CB164440A9A5B915C20C3D4033E25D899B16444060D916AFC30C3D40BA96DA9C941644402618CE35CC0C3D4099620E828E16444024343800D10C3D40084B862D8716444024343800D10C3D403E89192B7B164440AC2BB011D20C3D409FB7674C771644407B0B3554D60C3D407D2F74DB7416444020196140E50C3D40428A4B9F671644406C6BFAA2F30C3D406964A1E7601644404A3A6F08FA0C3D406964A1E760164440B686527B110D3D40FB253D67661644408C2C9963790D3D40BC7FE2B66C164440E30396B77E0D3D40AD7191D6731644406F8104C58F0D3D40D3A1D3F36E16444052D66F26A60D3D4095A58C6E73164440090ACDBFA70D3D40DF07D6276F164440C5C32055B90D3D4097F9B3C46F164440148F30B19E0D3D406BB8C83D5D164440A8AD6C7AAB0D3D406C62DC685B164440090ACDBFA70D3D40C2D43B8155164440CFB3A382D40D3D407BC6191E56164440B1732E200F0E3D40EA58A5F44C16444086522058FA0D3D405AEB30CB431644400C660234000E3D404F2F42C2411644402F7B2304F50D3D40694F6E803E1644401D55F256020E3D40D9E1F95635164440A9D26064130E3D408F7FB09D391644400EB5B7A51F0E3D40C06BE1C3361644408B27CCC5290E3D40F3AB394030164440A83D80A0370E3D403BBA5BA32F1644406E7C3727400E3D4054DA87612C16444032D758784D0E3D4030FE6C9A2D16444051D1A288560E3D407709980A3B1644400171B268950E3D40B405DF8F36164440BC2A06FEA60E3D40B5AFF2BA34164440C394922FB20E3D400924175234164440C61A892BC20E3D40B5AFF2BA341644405B39C5F4CE0E3D40C115F5EE3416444019D7AEBFDB0E3D40AA49F08634164440D4900255ED0E3D40CE250B4E33164440F1A6B62FFB0E3D402244431031164440C16AD1A7FA0E3D4033FCA71B281644408F4A56EAFE0E3D40400CBE7A261644408F4A56EAFE0E3D4095D4096822164440D816F950FD0E3D40D3D050ED1D164440F1A6B62FFB0E3D4004BD81131B164440E29B5C42F40E3D40CB129D651616444003380719120F3D4020DBE852121644404DE83FB50B0F3D40222F10A90E164440C16AD1A7FA0E3D40ACE1C73D0216444012D841CAF40E3D40E9DD0EC3FD154440BB004576EF0E3D40EB313619FA154440A5541DCDEC0E3D4028846973F71544404E7D2079E70E3D405BC4C1EFF0154440561EEE34E30E3D40A5260BA9EC1544402F83D668DE0E3D40D6123CCFE91544405298F738D30E3D40CC0061F1E5154440448D9D4BCC0E3D40F0DC7BB8E415444006465ED6C40E3D40201F99B3E31544400FE72B92C00E3D4021C9ACDEE115444070438CD7BC0E3D405E1BE038DF15444078E45993B80E3D4048A30227DB154440D940BAD8B40E3D407A8F334DD8154440CB3560EBAD0E3D400D54C6BFCF154440A49A481FA90E3D401BB80375CA15444033912D26910E3D40B224E593BA1544409C8E5B27890E3D40FC862E4DB6154440167B794B830E3D40099744ACB415444088197508770E3D4022B7706AB1154440F3FA383F6A0E3D406C19BA23AD154440BE54C7855E0E3D407A7DF7D8A715444051D1A288560E3D40008860C1A21544408B92EB014E0E3D40F71F990E9D1544406C98A1F1440E3D404D92F826971544405D8D47043E0E3D4074C23A4492154440761D05E33B0E3D408DE266028F154440EE258DD13A0E3D40D744B0BB8A154440EE258DD13A0E3D405C4F19A485154440EE258DD13A0E3D405EA340FA81154440A83D80A0370E3D409039854B7D1544409DB81CAF400E3D407719598D80154440F48F1903460E3D40695F2F0384154440DBFF5B24480E3D400831E1E187154440C26F9E454A0E3D400533A6608D154440D35E8E684C0E3D40C8E072069015444088AE55CC520E3D4097F441E0921544403841E5A9580E3D408AE42B81941544400C8BF61D680E3D40422CF6F296154440E975D54D730E3D40584EE72F991544401E1C47077F0E3D401BFCB3D59B154440E45AFE8D870E3D4026B8A2DE9D1544400CF6155A8C0E3D40013274ECA01544407B5DD08C8F0E3D40DCAB45FAA3154440D234CDE0940E3D409F5912A0A6154440878494449B0E3D409EAFFE74A815444005F7A864A50E3D40615DCB1AAB154440532DD8FCAE0E3D4017FB8161AF154440EA2FAAFBB60E3D402D735F73B315444086EFB380BF0E3D40E31016BAB7154440A5E9FD90C80E3D40BDE0D39CBC154440CAA07F27D20E3D40B026AA12C0154440D00A0C59DD0E3D404FA26F1CC21544407334A20FF10E3D407E9065C1C4154440B7E56DB6030F3D4040941E3CC91544407D24253D0C0F3D40F631D582CD1544406494675E0E0F3D40D0019365D21544406494675E0E0F3D40565D2CB1D7154440A4BF3C09110F3D403C93ECC7DC154440FB96395D160F3D402ED9C23DE015444091990B5C1E0F3D400953944BE31544404D535FF12F0F3D40E322522EE8154440E1719BBA3C0F3D4081F4030DEC1544402FA8CA52460F3D40C8581245ED154440F5E681D94E0F3D40C8581245ED154440735996F9580F3D40A5260BA9EC15444098101890620F3D40A5260BA9EC154440CEB689496E0F3D40D4BE1479ED1544409E7AA4C16D0F3D40FE96A542E1154440C99BB289820F3D4062C32EE5D7154440B491EBA6940F3D409F15623FD51544406F4B3F3CA60F3D4087495DD7D41544404679E6E5B00F3D4032DAF4B1CC154440BDEC8D10D40F3D40808EA042BF154440B735D88AEC0F3D40A3BA6F6BC1154440D1B01875AD0F3D40207EFE7BF0154440FD8C66C0B40F3D402903ACFA011644400CD17C29970F3D40E5492DEF05164440B07B86CB850F3D408449F1F109164440700BF1A3750F3D401734E323181644407DA53D6F740F3D40853309281E16444083BE993D750F3D40E223624A24164440CEBF023D790F3D407D4DC57C2F16444091C9F32A7C0F3D4006DE24613A164440F041BE3A7D0F3D407D2B6DCC4616444014A80F6E7C0F3D406EC72F174C1644406D63A2F77C0F3D400133DFC14F164440F37684D3820F3D400512B9855316444044E27904920F3D400F2494635716444050093EBC9D0F3D407DB328475C164440533E0455A30F3D4094D519845E16444061495E42AA0F3D40995E077360164440C6DA8420AC0F3D4074D8D8806316444049B9A063AC0F3D40841DB57867164440D951E630A90F3D400A794EC46C1644400EA72787AA0F3D40B939F0C5721644404B9D3699A70F3D40AA2B9FE57916444048687000A20F3D4071B8454F801644402B52BC25940F3D400126BA7889164440494E8127880F3D40F8F47DDD8E164440B68075C1850F3D40C1D54B9D911644400C0742B2800F3D40BBF8365893164440CEBF023D790F3D40FB29447694164440CBE660EC730F3D40254795BC951644402C2F54596F0F3D405FE3440598164440B8F6F4C76A0F3D40C9E9EBF99A16444043BE9536660F3D40EBB996DA9C1644400EF9C2BF630F3D40A862748A9F1644406F0D6C95600F3D409A8EA5B4A31644409AF4ADC55D0F3D40CEA96400A816444012989878510F3D40A1B6B2E9AD164440CAE259DD450F3D40043C69E1B216444021E527D53E0F3D4039BFBC5BB4164440D8930A74370F3D406829B407B5164440EB837698400F3D402F9CB525BC164440E2D92FE9390F3D401BAF8A81BF164440B68A598A3F0F3D408ACE8D44C3164440F5955176440F3D40BA3885F0C31644403EE76ED74B0F3D4066964E35C41644400886BD9A4D0F3D405AFC016AC5164440A8D9A8F34D0F3D404B283394C9164440DED2C5014F0F3D402D095053CB1644404791B586520F3D401403C9E0CD164440C6DBEFF55A0F3D4095A76219D1164440B8D38CFB450F3D40E411DC48D9164440C06BE1C3360F3D4028F96C78D5164440B9D8FEDF220F3D4087BF266BD41644402DC02D0E1D0F3D4087BF266BD41644409E020583100F3D403A083A5AD516444087C66EFA0E0F3D4040B73C7BD3164440D5E132B8F70E3D406F1BFCB3D5164440967A1684F20E3D401D99A2B7D3164440C3FD367AEB0E3D40B2721E04D3164440D54B42D8DF0E3D401239D8F6D1164440190BF956DA0E3D407C5F5CAAD2164440A42EBE0DD60E3D4052AC6411D41644408DF22785D40E3D406F1BFCB3D51644408DF22785D40E3D402CAA3418D91644408399000D800E3D4022FDF675E01644406E1BA1FA620E3D401B4EF454E216444053E68B625E0E3D407B14AE47E1164440FEA1F4E0490E3D4086747808E31644401BA034D4280E3D40D8DC2CB9E51644407A9FF4CF1D0E3D40781673C6E616444056E2F038FB0D3D40045D56BCEC1644406AEE320DD40D3D40A17EBCFCF31644404AC09E65CC0D3D4053C7CFEBF41644401E9C99AAC50D3D409AE95E27F5164440B709F7CABC0D3D4041B8020AF5164440AF8108CC9E0D3D409ACFB9DBF51644404D52F41B810D3D409ACFB9DBF516444071E316F3730D3D404C18CDCAF61644407B34304D6C0D3D40335AFDC7F8164440773BB13D690D3D4026169DD1FB1644409A6DB8D9690D3D406A204C40021744409A6DB8D9690D3D405DDCEB49051744407242322E660D3D402B7AF18F08174440F8A8BF5E610D3D405A2668380A1744401AE6BADF570D3D407DF612190C1744408877CAB4470D3D40DBCA01710D174440A1A2EA573A0D3D4059BED3090D174440289364671B0D3D40D7193AD1091744408B12995E070D3D4079454B7908174440C4DED5BCF40C3D40C1B5C9970617444047FC2F7CE90C3D4087191A4F04174440A19DD32CD00C3D4013494FECFC164440BAC8F3CFC20C3D4080F10C1AFA164440F394302EB00C3D405808066BF716444040852348A50C3D40289E0EBFF61644408EA960F9980C3D4052EFA99CF6164440495FAD7F7C0C3D402385B2F0F51644408C097B246F0C3D401853FA53F416444044543C89630C3D405BAA1CA4F1164440C1B45EC2570C3D40F83E0BF8EB164440003ED3A6450C3D40F849FFDCE1164440,0.6070,5766,41,9499.18,67.55
Osmangazi Mahallesi,Osmangazi,0106000020E61000000100000001030000000100000039000000F10005CD9D0D3D40C716DDD506184440244D7276210E3D40934550EBEC174440F9653046240E3D4078301812E61744409D24A7C0130E3D40CBC39D66DC174440FE6C9A2D0F0E3D40247F30F0DC174440B4E73235090E3D4048B76FFFDB174440CD469D6FFA0D3D409180D1E5CD1744407EB2BD71AD0D3D402EA23726D51744403C03D9A1500D3D40EFFBDC75DB174440AFD3A304580D3D40568B3ED5D71744404EBFFA2E5B0D3D403205C655C0174440E4CCC012590D3D4046F2F0F9BC174440C7CA79104C0D3D40C3E5C292BC1744405DD83FF4490D3D401B92A4B5B31744409CE337E04E0D3D40ED8F4138B0174440C42BA4575E0D3D40E25D899BAE174440162708686C0D3D4025B5ABEBAB1744401254E817800D3D40A41012B3A8174440E2653C00980D3D40EC8090D1A61744400E81C8C7930D3D40AB15B71B8E174440FC896FCDC20D3D40002082058B1744408C5C8132D70D3D40354AF2B79817444028DD4C3BEB0D3D40B4024356B7174440EA09A6F5120E3D407A66930DB5174440FA5A3C612E0E3D40FB63100EAC174440359314FD460E3D406974626AA617444027AE19CF560E3D405E42AACDA4174440B7802B346B0E3D40E14ED834A5174440CBA4E1EF720E3D40C22FF5F3A617444089FA134B800E3D406974626AA61744401ED48F977F0E3D40E2B66C63A217444092D8A491850E3D40C120448D9D17444031C4FBBB880E3D402F3196E997174440C3FEA14F9A0E3D40A1F2AFE59517444062EAF8799D0E3D40CC52FC299F174440AAD381ACA70E3D409E9ED21CB41744405405FE4BAD0E3D4009B42A78C0174440204432E4D80E3D40947BCBE6BB174440217C838A050F3D4096C0F74894174440E8AF462C180F3D40431EC18D94174440EDBAB722310F3D402667727B93174440315816F1420F3D40E98A08B59517444084F1D3B8370F3D401C446B459B17444028E494CA250F3D4080D8D2A3A91744407E7ECE93210F3D4008A57911B71744401D6A25BE240F3D405BEECC04C31744403BD400EF2E0F3D408B0E924FD9174440C79BA15D2A0F3D4058A9A0A2EA174440ED7772970E0F3D40FF3B4789021844401D661EAFF60E3D40C7BDF90D131844402EEAEE95D40E3D40F21D46521C18444047150F39C70E3D40C7BDF90D13184440708CAE1C6B0E3D409D6C5E3013184440732B84D5580E3D400B7DB08C0D184440D53A1680EB0D3D40EFFFE384091844404D0E44BBAF0D3D40A89E16CD14184440F10005CD9D0D3D40C716DDD506184440,0.1765,2086,32,11818.70,181.30
Pınarbaşı Mahallesi,Osmangazi,0106000020E61000000100000001030000000100000049000000D7659D96C40E3D40508A56EE05174440F090BD39B70E3D40B9B365AF2D17444008889345AB0E3D408D76813749174440DA571EA4A70E3D40E06EA4C74A1744407F2B7EF89E0E3D405CA4F55C4B1744408E44C3BD8D0E3D40450603194B1744409AC129BD800E3D4032CFA513641744402F979EFA510E3D401652D90B601744402046088F360E3D40D69CCDF45C1744405A7AD91B210E3D402A3F04B05C1744401F420180080E3D40F2199AFC6017444014F8D4FBD70D3D406FB488CD6C174440A0BF756AD30D3D40D8AB7E5B66174440534DFF48C70D3D40661EAFF666174440C0DE0E1EB70D3D40A84187AF65174440D34CF73AA90D3D402B4EB51666174440ECF593D6840D3D40CFF00B546B174440FEADAE54610D3D40B44EA61B7217444027295547330D3D4061BB20C77B174440F596BC4BF30C3D40C19EC085861744403D7C3E6FCF0C3D404D41C8C38C174440BE310400C70C3D401F3F654689174440805A56ABC00C3D405764CFF9841744408D0B0742B20C3D40105CE50984174440FD38F5DC9D0C3D40E0BDA3C6841744401F42A6C6950C3D409368137184174440D9452CBD910C3D40052A2D6D821744402486D3388A0C3D40F4DE18028017444000170912800C3D40D1DA238A7F1744404FAC53E57B0C3D40AC883F2F81174440F2536694780C3D40B87EB042801744403D693C6C7D0C3D401CA501727817444098CFA8AF9D0C3D406214048F6F1744406CB41CE8A10C3D402669A3DF63174440616EF7729F0C3D406F3205C655174440E8E0F489970C3D408729DBD1491744403A5AD5928E0C3D40D9E1F956351744405C63867C860C3D40BFCCC17D2E174440EDE75E71820C3D40D2B9EC212B1744402220BAFB770C3D405C751DAA291744404D07FC2B750C3D406F62484E26174440C273A554780C3D4071CADC7C231744407044F7AC6B0C3D40C70E2A711D1744403678BA4E7E0C3D40543E5F0E16174440E075EC56850C3D407E8FFAEB1517444089A768F68A0C3D405A57BBDC16174440C74ACCB3920C3D40F56970B614174440E5B4A7E49C0C3D40F1B8A81611174440377CC15DAC0C3D40EC9F4C4810174440EA8BCE43B70C3D40E686F0790F1744409DCF25C1C00C3D40532FAEA70C1744409DCF25C1C00C3D4078CF81E508174440BAD16CC3CD0C3D40A2201DC308174440C5179238D00C3D4029DE12CA0C1744406F4D15E7030D3D409CAEDD2C141744407BCB8B02330D3D4043F34AA313174440DA77A0A9320D3D4006B584211717444098CDD204400D3D40EDAEFDAE1917444003F456B8400D3D406E5397E71C1744403DF8E4BC5A0D3D40D240E20D1F17444059C6E127690D3D405B666C43201744406E1EE27A6F0D3D4002ABD9B91F174440990524AB6C0D3D40746CF3B51D1744409E1095A1850D3D40E795A1E018174440915FE40A940D3D409F2523C21A174440D9486D3D9E0D3D408FE9BFBD211744401EC76A4EB90D3D40C2F5CDA21C174440A1B48185DD0D3D4006B5842117174440851ED6C0FB0D3D40C1E61C3C131744400840378F1E0E3D4016F1E7251017444028E26366550E3D40A6D1E4620C1744400FB743C3620E3D40A6D1E4620C174440D7659D96C40E3D40508A56EE05174440,0.2207,2123,8,9619.39,36.25
Orhanbey Mahallesi,Osmangazi,0106000020E61000000100000001030000000100000015000000EEC38BCFAE103D4031B43A39431744405517F032C3103D400B90B28F5F1744409422E81EC8103D40219B3F016F17444084B872F6CE103D4049A12C7C7D1744403CECCF8FD0103D4047F1E0DD80174440255D8EB2D9103D4007E3F1FE89174440218A6E62ED103D4049B65FE39F1744408B485EE7F0103D4053808351A41744409B94DD27A2103D405899DF1FA517444040BBE8D08E103D40375C9A11941744403948E3AB78103D406215CA1D91174440C7AB62E06F103D4056D4601A86174440DA194BFD61103D40804A95287B174440C0385DBB59103D40ED269DED761744403944DC9C4A103D403892150D631744408B3F40AD58103D40BD06D8A260174440941DD1F35D103D40BA8F920D5A1744407E8E8F1667103D4020E57162591744407ABB6FC67A103D408774D3C1551744405EF1796A9A103D401DC70F9546174440EEC38BCFAE103D4031B43A3943174440,0.0384,291,8,7578.13,208.33
Nalbantoğlu Mahallesi,Osmangazi,0106000020E61000000100000001030000000100000029000000EEC38BCFAE103D4031B43A39431744405EF1796A9A103D401DC70F95461744407ABB6FC67A103D408774D3C1551744407E8E8F1667103D4020E5716259174440941DD1F35D103D40BA8F920D5A1744408B3F40AD58103D40BD06D8A2601744403944DC9C4A103D403892150D63174440C0385DBB59103D40ED269DED76174440DA194BFD61103D40804A95287B174440C7AB62E06F103D4056D4601A861744403948E3AB78103D406215CA1D9117444040BBE8D08E103D40375C9A11941744409B94DD27A2103D405899DF1FA51744403CE8C880A2103D409D0E643DB5174440F4FE3F4E98103D4007BC276AC4174440FB68273916103D40BD9B5DADC9174440C52D3075A10F3D4019C00067CE174440887FD8D2A30F3D409AE55718C7174440B1DEA815A60F3D40E525FF93BF174440A42DF87EB40F3D40A4367172BF174440D95A5F24B40F3D4091CDFA39AA17444025E3BD0FAC0F3D40BB1E9617AA174440C6E3FD13B70F3D40BA4269B97D174440F096F5ACB50F3D40B078454B7917444065CF543EBA0F3D4041594288751744404EC4115AC50F3D4005AD1B4A48174440BD9069C8D30F3D40EDF483BA481744407E512745D00F3D40BFF2203D45174440C2679027EE0F3D4040F09D3D3C17444063BF828F1C103D4055455D103617444063BF828F1C103D404E0E9F74221744403305210F33103D40FE1C305926174440C03456AC2B103D40E7340BB43B174440B5EE303729103D40FE987BED3E174440D324C2D034103D4057540E773F17444063F7D33549103D40ED4D67823C1744405512D90759103D4089601C5C3A1744400583103576103D4054DDC8E138174440A5A6B805A6103D407A7D9C1F351744405A1E5A1AAE103D406EF200BB3F174440EEC38BCFAE103D4031B43A3943174440,0.1285,1405,27,10933.85,210.12
Ulu Mahallesi,Osmangazi,0106000020E6100000010000000103000000010000000F0000002D0ABB287A103D40BAEA4B80AB184440D1C144CDA1103D4001AC448FCE18444063FCEA60B3103D40B3C986DADB18444089DCC2A9C5103D40A6D65647E9184440DCA16131EA103D40952DED2F1619444022FA5A3C61103D401EEF9FB82D19444033198EE733103D40DF420D9535194440AAF23D2311103D40B72000DD3C194440CB70F211E70F3D40FF72D2A00D1944402EED2F16E10F3D40AFD40EDA06194440CA4807358D0F3D40D64114820B194440411C3570510F3D40479B994F0C194440EF1AF4A5B70F3D40D0C59569EA1844405A547A5C0A103D4031BA17F3CE1844402D0ABB287A103D40BAEA4B80AB184440,0.1181,2024,68,17138.02,575.78
Koğukçınar Mahallesi,Osmangazi,0106000020E61000000100000001030000000100000023000000DCA16131EA103D40952DED2F1619444015BE631D33113D40128E0F690A1944404BEFD1D160113D40F35F7BC102194440CCA9AE8DC2113D403D9171D6F118444054D27943D0113D4011267B3A0D19444070A076AEDE113D40BDD17DEF251944401B063DE5E2113D4022A06758311944402DC25E72ED113D401C7C6132551944409DEF4C0DD9113D40CEF286455619444011F46107DF113D40720EE896671944401AD2F24DE4113D4031A715F07C194440CDE1FF33EF113D40D759E322AD19444059DDEA39E9113D40FFE9060ABC19444041E6142EF5113D40D5986B2CBC194440F9FC8BFBEA113D4047D7964BF41944404FCB0F5CE5113D40B075A911FA19444049884DBF9F113D405BBADD26371A4440C66F65E487113D40856DD5BF351A44409A1C88765F113D405C1C3AE2351A44406DC9AA0837113D4032CB9E04361A44402124665133113D40AD07DD6FFE19444015A7FF5140113D406ADAC534D3194440055A70F552113D4053477D48AE1944407E65EFD643113D4079E75086AA19444017128B732F113D403B9AD99DA4194440D93ADD1E29113D401419671D9F194440C64A71FA1F113D40BF677FFB95194440F265FDC11B113D407D6940738C194440B1F270A719113D404AA764EF7B194440F131B32A1D113D40D5F5FA496B194440ECA8C53B1B113D40DC9B84775E194440D9B8591712113D40A3C04C254D1944407265F5B3FD103D406B7242322E194440F9D7F2CAF5103D40FEBAD39D27194440DCA16131EA103D40952DED2F16194440,0.2531,5891,0,23275.39,0.00
Seç Mahallesi,Osmangazi,0106000020E610000001000000010300000001000000500000003F7E2546853A3D4063CC0292552A44407B1C61ACCA393D40F20DE088492B44409F82B2DFC9393D40D310FA3EC12B4440FB66518EB8383D400F153EB6C02B444043DA102DC3373D4086C0DBCD9D2B4440B4A95F8EC3373D40B1715875B12B444021C19EC085363D4039C082EAD52B4440F7764B72C0363D4019FD0D7FF22B44409A208F858D353D404602B27C022C44401AFF999C35353D40ABCFD556EC2B4440BB9C121093303D40AA656B7D912C44400D2D57E47C303D40B6476FB88F2C44408FD893652D303D4091F8CBDD9D2C44407B2068BBF82F3D4064C4AAE6DE2C44408BCCB799652C3D4036EDBD535C2C44407CD5CA845F2C3D40B728B341262C44403FFF3D78ED2A3D405A59EC40E72B4440C88B964DCA2A3D40E3546B61162C4440AFF83C354D2A3D40B1755F84DF2B4440B631D17BBE293D4041A08E22C62B4440692F473426293D4052A3EB1DC92B44409A21FA5A3C293D402E104E55EB2B44406CCF2C0950293D4009151C5E102C4440FC99305008293D40EF022505162C4440CB48BDA772283D40E1D7A3CBF62B444036525B8F67283D40ED9F02BBF52B44406A566C825E283D4024D3A1D3F32B444030D406CCE8263D40CC081456CF2B4440FE6FDBAD1B273D40752E7BC84A2B4440461CFC0E8F263D40F237EB9D1B2B4440BA5D79DA2B273D40204432E4D82A4440075273034F273D40EEDBFFB6DD2A4440DDDFEA4A15283D404D987A27B02A44405723BBD232283D4052B1D6F5B02A4440C0E6C182A0283D404B1FBAA0BE2A4440BC13A232B4283D40D8C0B1C2882A44408FFD2C9622293D40FE874F954A2A4440FF32294F6A293D40CE29125D612A44406CC94F4FC4293D40398721286D2A44406D31E47DC1293D4003A1AB634B2A4440EDB776A2242A3D40A662635E472A4440D5C0A096302A3D40A7D6B1005C2A444005BC71F7DE2A3D4054347B455C2A4440696BE9769B2A3D40D0ACB6AC0C2A44409BC937DBDC2A3D40FE79BF76D5294440490F43AB932B3D40B456B439CE294440AB532F09612B3D406811402086294440F0FCA204FD2B3D40E4E25E4F2A294440DE3B6A4C882B3D407F2F8507CD2844405BEB8B84B62E3D40B484C65DCE2744404C55359C8D303D40994B05700E28444037024C74F1303D40E96A86AF0A284440FBE0C67773323D400D23731BC3274440922AE510CC323D40D545651E542744404713398E69333D4087318E3633274440845671F442333D40BD4E8F12602744403972EEC04A333D40FDAAB7616F2744402E701EF3A6333D4016A0127C782744406E7DA2FCEE333D40CDD36F157A2744400E84640113343D40D0C07E3E80274440D59E48E647343D40490389377C274440DBF97E6ABC343D40FF4124438E274440EDE588C624353D40465046A68D274440D888BBD5CE353D409FCFDB33A62744400C34E900D2363D4076CC2F39A4274440DE9C007965373D403556AC2BB02744407B2068BBF8373D40C75FFF1AB52744408265B67581383D40C28B193CA72744402D8BD35AE2383D40210725CCB4274440F878D78F03393D407918A42AB72744402EFDF09826393D40160CF846BE27444097B66E394D393D4044AA8317D8274440FF97C68A75393D402557563FDB274440F83EB03E79393D40819B2045F827444062F8E35185383D4094D1127530284440DBBA40EEC7383D40326A08D85828444074DF20109E393D40BF4DDAAF96284440602F5E3D383B3D40C2058F2562294440C7B88729363B3D4030C104C9962944403F7E2546853A3D4063CC0292552A4440,20.2430,525,0,25.93,0.00
Gülbahçe Mahallesi,Osmangazi,0106000020E610000001000000010300000001000000360000009DCB1EB292123D40554E7B4ACE1844401B17693DD7123D40204CE548C2184440215624CBEE123D40D34AC6D6D81844404736FC1301133D406B6281AFE81844408736001B10133D4010E6762FF718444047B87F1B18133D40E1229CBB02194440C7ECD1C034133D40AA85ED821C194440EA31DB5F87133D40699B2CFF6B194440868263E0CA133D4073E26190AA1944404510E7E104143D4047979240DE194440F957456E3C143D40FD9474DE101A4440192EBCDC71143D40BF96FCF4441A44401D01DC2C5E143D405197D6F03E1A44405835ADB948143D4067542AF2351A444065E65D503A143D405871AAB5301A444087EF0E3A32143D401ED5FA6C2E1A444009D91E6228143D4053584EE72F1A44409873DF2010143D401E7C17A53A1A44401CC5837703143D40404CC2853C1A4440AAF3A8F8BF133D400BC96E0B3B1A4440398A62A879133D401863BBD6391A444049D2DAD9FC123D4042B456B4391A4440F7D676C9EE123D402286C20C321A44400454DDC8E1123D406DC669882A1A4440B28CC34FD2123D404B4FA26F1C1A4440693BA6EECA123D4032A2FEC4121A444081327CFABE123D405DB41199031A444064647F8FB0123D40466F021DF7194440B15472A9A5123D40D406CCE8EC194440680355489E123D4068B7F182E3194440B5F3476293123D40AA2D7590D7194440CCB6D3D688123D40DDA117A4CF19444084CD4AA47E123D40D4D7F335CB194440AFB48CD47B123D40F5C6FFD3C31944407ABB6FC67A123D40119DAFA3BB1944402DCB7CAC85123D40E28B9BBFAE1944402DCB7CAC85123D4056B549EAA9194440EEF3CE577F123D407CAE00F09919444059E6087481123D407965CD7E93194440CDEA1D6E87123D4036678EF68919444041237DFF8B123D407F30F0DC7B194440D00B772E8C123D402CC203B97A19444014E8137992123D4035BCB43C6A1944401FE6817E95123D40C097C28366194440A74297CBA1123D40CC8AF21659194440C817FE1D9B123D40A3923A014D194440BED1D8A898123D40A049079046194440F8D15F9E84123D40099AE0E533194440DFA238EC63123D401BF09EA811194440C16CA75258123D4028E3CE3B04194440C2D43B8155123D40A9E04B3CFB184440ED87331A54123D402AFD29FAE81844403BAC70CB47123D40CB811E6ADB1844409DCB1EB292123D40554E7B4ACE184440,0.4444,7575,0,17045.45,0.00
